gene,canonical_acc,isoform_acc,topology,deletion_window,deletion_length,feature_type,feature_description,feature_begin,feature_end,overlap_residues,overlap_kind,is_inhibitory_lexical,is_disorder_lexical
HLA-G,P17693,P17693-7,C-Terminal Loss,115-336,222,Binding site,,180,180,1,full,False,False
HLA-G,P17693,P17693-7,C-Terminal Loss,115-336,222,Binding site,,183,183,1,full,False,False
HLA-G,P17693,P17693-7,C-Terminal Loss,115-336,222,Binding site,,195,195,1,full,False,False
ABHD17A,Q96GS6,Q96GS6-3,C-Terminal Loss,236-309,74,Active site,Charge relay system,255,255,1,full,False,False
ABHD17A,Q96GS6,Q96GS6-3,C-Terminal Loss,236-309,74,Active site,Charge relay system,284,284,1,full,False,False
CSHL1,Q14406,Q14406-3,N-Terminal Loss,4-86,83,Binding site,,44,44,1,full,False,False
DCAF17,Q5H9S7,Q5H9S7-2,N-Terminal Loss,1-280,280,Transmembrane,Helical,186,206,21,full,False,False
DCAF17,Q5H9S7,Q5H9S7-2,N-Terminal Loss,1-280,280,Transmembrane,Helical,222,242,21,full,False,False
DNAJC27,Q9NZQ0,Q9NZQ0-3,C-Terminal Loss,177-272,96,Domain,J,217,273,56,partial,False,False
OGG1,O15527,O15527-6,C-Terminal Loss,191-340,150,Region,Disordered,324,345,17,partial,False,True
OGG1,O15527,O15527-6,C-Terminal Loss,191-340,150,Compositional bias,Basic and acidic residues,324,334,11,full,False,True
OGG1,O15527,O15527-6,C-Terminal Loss,191-340,150,Compositional bias,Basic residues,335,345,6,partial,False,True
OGG1,O15527,O15527-6,C-Terminal Loss,191-340,150,Active site,Schiff-base intermediate with DNA,249,249,1,full,False,False
OGG1,O15527,O15527-6,C-Terminal Loss,191-340,150,Binding site,,204,204,1,full,False,False
OGG1,O15527,O15527-6,C-Terminal Loss,191-340,150,Binding site,,266,266,1,full,False,False
OGG1,O15527,O15527-6,C-Terminal Loss,191-340,150,Binding site,,268,268,1,full,False,False
OGG1,O15527,O15527-6,C-Terminal Loss,191-340,150,Binding site,,270,270,1,full,False,False
OGG1,O15527,O15527-6,C-Terminal Loss,191-340,150,Binding site,,287,287,1,full,False,False
OGG1,O15527,O15527-6,C-Terminal Loss,191-340,150,Binding site,,315,315,1,full,False,False
OGG1,O15527,O15527-6,C-Terminal Loss,191-340,150,Binding site,,319,319,1,full,False,False
SLC22A7,Q9Y694,Q9Y694-4,Internal Deletion / Splice,8-314,307,Transmembrane,Helical,21,41,21,full,False,False
SLC22A7,Q9Y694,Q9Y694-4,Internal Deletion / Splice,8-314,307,Transmembrane,Helical,146,166,21,full,False,False
SLC22A7,Q9Y694,Q9Y694-4,Internal Deletion / Splice,8-314,307,Transmembrane,Helical,180,200,21,full,False,False
SLC22A7,Q9Y694,Q9Y694-4,Internal Deletion / Splice,8-314,307,Transmembrane,Helical,204,224,21,full,False,False
SLC22A7,Q9Y694,Q9Y694-4,Internal Deletion / Splice,8-314,307,Transmembrane,Helical,234,254,21,full,False,False
SLC22A7,Q9Y694,Q9Y694-4,Internal Deletion / Splice,8-314,307,Transmembrane,Helical,259,279,21,full,False,False
THAP4,Q8WY91,Q8WY91-2,N-Terminal Loss,2-413,412,Zinc finger,THAP-type,1,85,84,partial,False,False
THAP4,Q8WY91,Q8WY91-2,N-Terminal Loss,2-413,412,Region,Disordered,84,221,138,full,False,True
THAP4,Q8WY91,Q8WY91-2,N-Terminal Loss,2-413,412,Region,Disordered,240,324,85,full,False,True
THAP4,Q8WY91,Q8WY91-2,N-Terminal Loss,2-413,412,Motif,HCFC1-binding motif (HBM),235,238,4,full,False,False
THAP4,Q8WY91,Q8WY91-2,N-Terminal Loss,2-413,412,Compositional bias,Low complexity,157,170,14,full,False,True
THAP4,Q8WY91,Q8WY91-2,N-Terminal Loss,2-413,412,Compositional bias,Basic and acidic residues,247,266,20,full,False,True
THAP4,Q8WY91,Q8WY91-2,N-Terminal Loss,2-413,412,Compositional bias,Low complexity,290,300,11,full,False,True
TRAF3IP2,O43734,O43734-4,N-Terminal Loss,1-465,465,Domain,SEFIR,409,550,57,partial,False,False
TRAF3IP2,O43734,O43734-4,N-Terminal Loss,1-465,465,Region,Mediates interaction with TRAF6,1,256,256,full,False,False
TRAF3IP2,O43734,O43734-4,N-Terminal Loss,1-465,465,Region,Disordered,1,67,67,full,False,True
TRAF3IP2,O43734,O43734-4,N-Terminal Loss,1-465,465,Region,Disordered,155,211,57,full,False,True
TRAF3IP2,O43734,O43734-4,N-Terminal Loss,1-465,465,Region,Disordered,327,403,77,full,False,True
TRAF3IP2,O43734,O43734-4,N-Terminal Loss,1-465,465,Compositional bias,Polar residues,52,67,16,full,False,True
TRAF3IP2,O43734,O43734-4,N-Terminal Loss,1-465,465,Compositional bias,Polar residues,170,186,17,full,False,True
TRAF3IP2,O43734,O43734-4,N-Terminal Loss,1-465,465,Compositional bias,Pro residues,378,394,17,full,False,True
ANKH,Q9HCJ1,Q9HCJ1-2,N-Terminal Loss,1-198,198,Topological domain,Cytoplasmic,1,85,85,full,False,False
ANKH,Q9HCJ1,Q9HCJ1-2,N-Terminal Loss,1-198,198,Transmembrane,Helical,86,106,21,full,False,False
ANKH,Q9HCJ1,Q9HCJ1-2,N-Terminal Loss,1-198,198,Topological domain,Extracellular,107,131,25,full,False,False
ANKH,Q9HCJ1,Q9HCJ1-2,N-Terminal Loss,1-198,198,Transmembrane,Helical,132,152,21,full,False,False
ANKH,Q9HCJ1,Q9HCJ1-2,N-Terminal Loss,1-198,198,Topological domain,Cytoplasmic,153,158,6,full,False,False
ANKH,Q9HCJ1,Q9HCJ1-2,N-Terminal Loss,1-198,198,Transmembrane,Helical,159,179,21,full,False,False
ANKH,Q9HCJ1,Q9HCJ1-2,N-Terminal Loss,1-198,198,Topological domain,Extracellular,180,189,10,full,False,False
ANKH,Q9HCJ1,Q9HCJ1-2,N-Terminal Loss,1-198,198,Transmembrane,Helical,190,210,9,partial,False,False
PDCD2,Q16342,Q16342-4,Internal Deletion / Splice,221-336,116,Region,Required for interaction with RPS2/uS5,261,292,32,full,False,False
CAPN10,Q9HC96,Q9HC96-5,C-Terminal Loss,440-667,228,Region,Domain III 1,322,494,55,partial,False,False
CAPN10,Q9HC96,Q9HC96-5,C-Terminal Loss,440-667,228,Region,Domain III 2,513,654,142,full,False,False
SLC66A1,Q6ZP29,Q6ZP29-2,N-Terminal Loss,1-111,111,Topological domain,Lumenal,1,37,37,full,False,False
SLC66A1,Q6ZP29,Q6ZP29-2,N-Terminal Loss,1-111,111,Transmembrane,Helical,38,58,21,full,False,False
SLC66A1,Q6ZP29,Q6ZP29-2,N-Terminal Loss,1-111,111,Topological domain,Cytoplasmic,59,71,13,full,False,False
SLC66A1,Q6ZP29,Q6ZP29-2,N-Terminal Loss,1-111,111,Transmembrane,Helical,72,92,21,full,False,False
SLC66A1,Q6ZP29,Q6ZP29-2,N-Terminal Loss,1-111,111,Topological domain,Lumenal,93,98,6,full,False,False
SLC66A1,Q6ZP29,Q6ZP29-2,N-Terminal Loss,1-111,111,Transmembrane,Helical,99,119,13,partial,False,False
SLC66A1,Q6ZP29,Q6ZP29-2,N-Terminal Loss,1-111,111,Domain,PQ-loop 1,34,100,67,full,False,False
AJUBA,Q96IF1,Q96IF1-2,N-Terminal Loss,1-417,417,Domain,LIM zinc-binding 1,336,397,62,full,False,False
AJUBA,Q96IF1,Q96IF1-2,N-Terminal Loss,1-417,417,Domain,LIM zinc-binding 2,401,461,17,partial,False,False
AJUBA,Q96IF1,Q96IF1-2,N-Terminal Loss,1-417,417,Region,PreLIM,1,335,335,full,False,False
AJUBA,Q96IF1,Q96IF1-2,N-Terminal Loss,1-417,417,Region,Disordered,1,172,172,full,False,True
AJUBA,Q96IF1,Q96IF1-2,N-Terminal Loss,1-417,417,Region,Disordered,291,315,25,full,False,True
AJUBA,Q96IF1,Q96IF1-2,N-Terminal Loss,1-417,417,Motif,Nuclear localization signal,280,288,9,full,False,False
AJUBA,Q96IF1,Q96IF1-2,N-Terminal Loss,1-417,417,Compositional bias,Basic and acidic residues,1,22,22,full,False,True
AJUBA,Q96IF1,Q96IF1-2,N-Terminal Loss,1-417,417,Compositional bias,Gly residues,29,57,29,full,False,True
AJUBA,Q96IF1,Q96IF1-2,N-Terminal Loss,1-417,417,Compositional bias,Low complexity,115,138,24,full,False,True
AKR1C8,Q5T2L2,Q5T2L2-3,C-Terminal Loss,127-323,197,Binding site,,169,170,2,full,False,False
AKR1C8,Q5T2L2,Q5T2L2-3,C-Terminal Loss,127-323,197,Binding site,,193,193,1,full,False,False
AKR1C8,Q5T2L2,Q5T2L2-3,C-Terminal Loss,127-323,197,Binding site,,271,283,13,full,False,False
MAGT1,Q9H0U3,Q9H0U3-2,C-Terminal Loss,131-331,201,Topological domain,Extracellular,30,184,54,partial,False,False
MAGT1,Q9H0U3,Q9H0U3-2,C-Terminal Loss,131-331,201,Transmembrane,Helical,185,205,21,full,False,False
MAGT1,Q9H0U3,Q9H0U3-2,C-Terminal Loss,131-331,201,Topological domain,Cytoplasmic,206,209,4,full,False,False
MAGT1,Q9H0U3,Q9H0U3-2,C-Terminal Loss,131-331,201,Transmembrane,Helical,210,230,21,full,False,False
MAGT1,Q9H0U3,Q9H0U3-2,C-Terminal Loss,131-331,201,Topological domain,Extracellular,231,270,40,full,False,False
MAGT1,Q9H0U3,Q9H0U3-2,C-Terminal Loss,131-331,201,Transmembrane,Helical,271,291,21,full,False,False
MAGT1,Q9H0U3,Q9H0U3-2,C-Terminal Loss,131-331,201,Topological domain,Cytoplasmic,292,300,9,full,False,False
MAGT1,Q9H0U3,Q9H0U3-2,C-Terminal Loss,131-331,201,Transmembrane,Helical,301,321,21,full,False,False
MAGT1,Q9H0U3,Q9H0U3-2,C-Terminal Loss,131-331,201,Topological domain,Extracellular,322,335,10,partial,False,False
MAGT1,Q9H0U3,Q9H0U3-2,C-Terminal Loss,131-331,201,Domain,Thioredoxin,47,175,45,partial,False,False
EPHB4,P54760,P54760-4,C-Terminal Loss,414-986,573,Topological domain,Extracellular,16,539,126,partial,False,False
EPHB4,P54760,P54760-4,C-Terminal Loss,414-986,573,Transmembrane,Helical,540,560,21,full,False,False
EPHB4,P54760,P54760-4,C-Terminal Loss,414-986,573,Topological domain,Cytoplasmic,561,987,426,partial,False,False
EPHB4,P54760,P54760-4,C-Terminal Loss,414-986,573,Domain,Fibronectin type-III 1,323,432,19,partial,False,False
EPHB4,P54760,P54760-4,C-Terminal Loss,414-986,573,Domain,Fibronectin type-III 2,436,529,94,full,False,False
EPHB4,P54760,P54760-4,C-Terminal Loss,414-986,573,Domain,Protein kinase,615,899,285,full,False,False
EPHB4,P54760,P54760-4,C-Terminal Loss,414-986,573,Domain,SAM,907,971,65,full,False,False
EPHB4,P54760,P54760-4,C-Terminal Loss,414-986,573,Region,Disordered,965,987,22,partial,False,True
EPHB4,P54760,P54760-4,C-Terminal Loss,414-986,573,Motif,PDZ-binding,985,987,2,partial,False,False
EPHB4,P54760,P54760-4,C-Terminal Loss,414-986,573,Compositional bias,Gly residues,976,987,11,partial,False,True
EPHB4,P54760,P54760-4,C-Terminal Loss,414-986,573,Active site,Proton acceptor,740,740,1,full,False,False
EPHB4,P54760,P54760-4,C-Terminal Loss,414-986,573,Binding site,,621,629,9,full,False,False
EPHB4,P54760,P54760-4,C-Terminal Loss,414-986,573,Binding site,,647,647,1,full,False,False
EPHA7,Q15375,Q15375-3,C-Terminal Loss,278-996,719,Topological domain,Extracellular,28,555,278,partial,False,False
EPHA7,Q15375,Q15375-3,C-Terminal Loss,278-996,719,Transmembrane,Helical,556,576,21,full,False,False
EPHA7,Q15375,Q15375-3,C-Terminal Loss,278-996,719,Topological domain,Cytoplasmic,577,998,420,partial,False,False
EPHA7,Q15375,Q15375-3,C-Terminal Loss,278-996,719,Domain,Fibronectin type-III 1,331,441,111,full,False,False
EPHA7,Q15375,Q15375-3,C-Terminal Loss,278-996,719,Domain,Fibronectin type-III 2,442,537,96,full,False,False
EPHA7,Q15375,Q15375-3,C-Terminal Loss,278-996,719,Domain,Protein kinase,633,894,262,full,False,False
EPHA7,Q15375,Q15375-3,C-Terminal Loss,278-996,719,Domain,SAM,923,987,65,full,False,False
EPHA7,Q15375,Q15375-3,C-Terminal Loss,278-996,719,Motif,PDZ-binding,996,998,1,partial,False,False
EPHA7,Q15375,Q15375-3,C-Terminal Loss,278-996,719,Active site,Proton acceptor,758,758,1,full,False,False
EPHA7,Q15375,Q15375-3,C-Terminal Loss,278-996,719,Binding site,,639,647,9,full,False,False
EPHA7,Q15375,Q15375-3,C-Terminal Loss,278-996,719,Binding site,,665,665,1,full,False,False
LETMD1,Q6P1Q0,Q6P1Q0-5,N-Terminal Loss,1-260,260,Topological domain,Cytoplasmic,1,137,137,full,False,False
LETMD1,Q6P1Q0,Q6P1Q0-5,N-Terminal Loss,1-260,260,Transmembrane,Helical,138,158,21,full,False,False
LETMD1,Q6P1Q0,Q6P1Q0-5,N-Terminal Loss,1-260,260,Topological domain,Mitochondrial intermembrane,159,360,102,partial,False,False
LETMD1,Q6P1Q0,Q6P1Q0-5,N-Terminal Loss,1-260,260,Domain,Letm1 RBD,186,360,75,partial,False,False
LETMD1,Q6P1Q0,Q6P1Q0-5,N-Terminal Loss,1-260,260,Region,Required and sufficient for mitochondrial import,1,110,110,full,False,False
EPHA10,Q5JZY3,Q5JZY3-2,Internal Deletion / Splice,284-976;982-1001,713,Topological domain,Extracellular,34,565,282,partial,False,False
EPHA10,Q5JZY3,Q5JZY3-2,Internal Deletion / Splice,284-976;982-1001,713,Transmembrane,Helical,566,586,21,full,False,False
EPHA10,Q5JZY3,Q5JZY3-2,Internal Deletion / Splice,284-976;982-1001,713,Topological domain,Cytoplasmic,587,1008,410,partial,False,False
EPHA10,Q5JZY3,Q5JZY3-2,Internal Deletion / Splice,284-976;982-1001,713,Domain,Fibronectin type-III 1,340,452,113,full,False,False
EPHA10,Q5JZY3,Q5JZY3-2,Internal Deletion / Splice,284-976;982-1001,713,Domain,Fibronectin type-III 2,456,554,99,full,False,False
EPHA10,Q5JZY3,Q5JZY3-2,Internal Deletion / Splice,284-976;982-1001,713,Domain,Protein kinase,645,900,256,full,False,False
EPHA10,Q5JZY3,Q5JZY3-2,Internal Deletion / Splice,284-976;982-1001,713,Domain,SAM,933,997,60,partial,False,False
EPHA10,Q5JZY3,Q5JZY3-2,Internal Deletion / Splice,284-976;982-1001,713,Region,Disordered,322,342,21,full,False,True
ZDHHC13,Q8IUH4,Q8IUH4-3,N-Terminal Loss,1-130,130,Topological domain,Cytoplasmic,1,291,130,partial,False,False
ZDHHC13,Q8IUH4,Q8IUH4-3,N-Terminal Loss,1-130,130,Repeat,ANK 1,43,78,36,full,False,False
ZDHHC13,Q8IUH4,Q8IUH4-3,N-Terminal Loss,1-130,130,Repeat,ANK 2,81,110,30,full,False,False
ZDHHC13,Q8IUH4,Q8IUH4-3,N-Terminal Loss,1-130,130,Repeat,ANK 3,115,144,16,partial,False,False
ARL9,Q6T311,Q6T311-2,N-Terminal Loss,1-64,64,Binding site,,25,32,8,full,False,False
TRIB1,Q96RU8,Q96RU8-2,N-Terminal Loss,1-166,166,Domain,Protein kinase,91,338,76,partial,False,False
TRIB1,Q96RU8,Q96RU8-2,N-Terminal Loss,1-166,166,Region,Disordered,1,23,23,full,False,True
TRIB1,Q96RU8,Q96RU8-2,N-Terminal Loss,1-166,166,Region,Disordered,52,86,35,full,False,True
TRIB1,Q96RU8,Q96RU8-2,N-Terminal Loss,1-166,166,Compositional bias,Pro residues,59,75,17,full,False,True
MTRF1L,Q9UGC7,Q9UGC7-2,C-Terminal Loss,269-377,109,Region,GGQ domain,236,300,32,partial,False,False
CHIA,Q9BZP6,Q9BZP6-3,N-Terminal Loss,1-161,161,Domain,GH18,22,390,140,partial,False,False
CHIA,Q9BZP6,Q9BZP6-3,N-Terminal Loss,1-161,161,Active site,Proton donor,140,140,1,full,False,False
CHIA,Q9BZP6,Q9BZP6-3,N-Terminal Loss,1-161,161,Binding site,,70,71,2,full,False,False
CHIA,Q9BZP6,Q9BZP6-3,N-Terminal Loss,1-161,161,Binding site,,97,100,4,full,False,False
CHIA,Q9BZP6,Q9BZP6-3,N-Terminal Loss,1-161,161,Binding site,,141,141,1,full,False,False
NGLY1,Q96IV0,Q96IV0-4,N-Terminal Loss,1-523,523,Domain,PUB,30,91,62,full,False,False
NGLY1,Q96IV0,Q96IV0-4,N-Terminal Loss,1-523,523,Domain,PAW,454,654,70,partial,False,False
NGLY1,Q96IV0,Q96IV0-4,N-Terminal Loss,1-523,523,Region,Disordered,112,163,52,full,False,True
NGLY1,Q96IV0,Q96IV0-4,N-Terminal Loss,1-523,523,Compositional bias,Polar residues,124,163,40,full,False,True
NGLY1,Q96IV0,Q96IV0-4,N-Terminal Loss,1-523,523,Active site,Nucleophile,309,309,1,full,False,False
NGLY1,Q96IV0,Q96IV0-4,N-Terminal Loss,1-523,523,Active site,,336,336,1,full,False,False
NGLY1,Q96IV0,Q96IV0-4,N-Terminal Loss,1-523,523,Active site,,353,353,1,full,False,False
NGLY1,Q96IV0,Q96IV0-4,N-Terminal Loss,1-523,523,Binding site,,250,250,1,full,False,False
NGLY1,Q96IV0,Q96IV0-4,N-Terminal Loss,1-523,523,Binding site,,253,253,1,full,False,False
NGLY1,Q96IV0,Q96IV0-4,N-Terminal Loss,1-523,523,Binding site,,283,283,1,full,False,False
NGLY1,Q96IV0,Q96IV0-4,N-Terminal Loss,1-523,523,Binding site,,286,286,1,full,False,False
CAPN10,Q9HC96,Q9HC96-4,Internal Deletion / Splice,506-664,159,Region,Domain III 2,513,654,142,full,False,False
ACSM1,Q08AH1,Q08AH1-2,C-Terminal Loss,205-577,373,Binding site,,226,234,9,full,False,False
ACSM1,Q08AH1,Q08AH1-2,C-Terminal Loss,205-577,373,Binding site,,452,452,1,full,False,False
ACSM1,Q08AH1,Q08AH1-2,C-Terminal Loss,205-577,373,Binding site,,467,467,1,full,False,False
ACSM1,Q08AH1,Q08AH1-2,C-Terminal Loss,205-577,373,Binding site,,563,563,1,full,False,False
PTCHD1,Q96NR3,Q96NR3-2,N-Terminal Loss,1-105,105,Transmembrane,Helical,20,40,21,full,False,False
EPHA7,Q15375,Q15375-5,C-Terminal Loss,447-995,549,Topological domain,Extracellular,28,555,109,partial,False,False
EPHA7,Q15375,Q15375-5,C-Terminal Loss,447-995,549,Transmembrane,Helical,556,576,21,full,False,False
EPHA7,Q15375,Q15375-5,C-Terminal Loss,447-995,549,Topological domain,Cytoplasmic,577,998,419,partial,False,False
EPHA7,Q15375,Q15375-5,C-Terminal Loss,447-995,549,Domain,Fibronectin type-III 2,442,537,91,partial,False,False
EPHA7,Q15375,Q15375-5,C-Terminal Loss,447-995,549,Domain,Protein kinase,633,894,262,full,False,False
EPHA7,Q15375,Q15375-5,C-Terminal Loss,447-995,549,Domain,SAM,923,987,65,full,False,False
EPHA7,Q15375,Q15375-5,C-Terminal Loss,447-995,549,Active site,Proton acceptor,758,758,1,full,False,False
EPHA7,Q15375,Q15375-5,C-Terminal Loss,447-995,549,Binding site,,639,647,9,full,False,False
EPHA7,Q15375,Q15375-5,C-Terminal Loss,447-995,549,Binding site,,665,665,1,full,False,False
SLC17A5,Q9NRA2,Q9NRA2-2,C-Terminal Loss,278-495,218,Topological domain,Cytoplasmic,249,279,2,partial,False,False
SLC17A5,Q9NRA2,Q9NRA2-2,C-Terminal Loss,278-495,218,Transmembrane,Helical,280,300,21,full,False,False
SLC17A5,Q9NRA2,Q9NRA2-2,C-Terminal Loss,278-495,218,Topological domain,Lumenal,301,328,28,full,False,False
SLC17A5,Q9NRA2,Q9NRA2-2,C-Terminal Loss,278-495,218,Transmembrane,Helical,329,349,21,full,False,False
SLC17A5,Q9NRA2,Q9NRA2-2,C-Terminal Loss,278-495,218,Topological domain,Cytoplasmic,350,365,16,full,False,False
SLC17A5,Q9NRA2,Q9NRA2-2,C-Terminal Loss,278-495,218,Transmembrane,Helical,366,386,21,full,False,False
SLC17A5,Q9NRA2,Q9NRA2-2,C-Terminal Loss,278-495,218,Topological domain,Lumenal,387,391,5,full,False,False
SLC17A5,Q9NRA2,Q9NRA2-2,C-Terminal Loss,278-495,218,Transmembrane,Helical,392,412,21,full,False,False
SLC17A5,Q9NRA2,Q9NRA2-2,C-Terminal Loss,278-495,218,Topological domain,Cytoplasmic,413,423,11,full,False,False
SLC17A5,Q9NRA2,Q9NRA2-2,C-Terminal Loss,278-495,218,Transmembrane,Helical,424,444,21,full,False,False
SLC17A5,Q9NRA2,Q9NRA2-2,C-Terminal Loss,278-495,218,Topological domain,Lumenal,445,457,13,full,False,False
SLC17A5,Q9NRA2,Q9NRA2-2,C-Terminal Loss,278-495,218,Transmembrane,Helical,458,478,21,full,False,False
SLC17A5,Q9NRA2,Q9NRA2-2,C-Terminal Loss,278-495,218,Topological domain,Cytoplasmic,479,495,17,full,False,False
MYSM1,Q5VVJ2,Q5VVJ2-3,N-Terminal Loss,1-594,594,Domain,SANT,116,167,52,full,False,False
MYSM1,Q5VVJ2,Q5VVJ2-3,N-Terminal Loss,1-594,594,Domain,SWIRM,372,470,99,full,False,False
MYSM1,Q5VVJ2,Q5VVJ2-3,N-Terminal Loss,1-594,594,Domain,MPN,577,709,18,partial,False,False
MYSM1,Q5VVJ2,Q5VVJ2-3,N-Terminal Loss,1-594,594,Region,Disordered,1,31,31,full,False,True
MYSM1,Q5VVJ2,Q5VVJ2-3,N-Terminal Loss,1-594,594,Compositional bias,Acidic residues,1,12,12,full,False,True
EPHB4,P54760,P54760-2,Internal Deletion / Splice,507-977,471,Topological domain,Extracellular,16,539,33,partial,False,False
EPHB4,P54760,P54760-2,Internal Deletion / Splice,507-977,471,Transmembrane,Helical,540,560,21,full,False,False
EPHB4,P54760,P54760-2,Internal Deletion / Splice,507-977,471,Topological domain,Cytoplasmic,561,987,417,partial,False,False
EPHB4,P54760,P54760-2,Internal Deletion / Splice,507-977,471,Domain,Fibronectin type-III 2,436,529,23,partial,False,False
EPHB4,P54760,P54760-2,Internal Deletion / Splice,507-977,471,Domain,Protein kinase,615,899,285,full,False,False
EPHB4,P54760,P54760-2,Internal Deletion / Splice,507-977,471,Domain,SAM,907,971,65,full,False,False
EPHB4,P54760,P54760-2,Internal Deletion / Splice,507-977,471,Region,Disordered,965,987,13,partial,False,True
EPHB4,P54760,P54760-2,Internal Deletion / Splice,507-977,471,Compositional bias,Gly residues,976,987,2,partial,False,True
EPHB4,P54760,P54760-2,Internal Deletion / Splice,507-977,471,Active site,Proton acceptor,740,740,1,full,False,False
EPHB4,P54760,P54760-2,Internal Deletion / Splice,507-977,471,Binding site,,621,629,9,full,False,False
EPHB4,P54760,P54760-2,Internal Deletion / Splice,507-977,471,Binding site,,647,647,1,full,False,False
EPHA2,P29317,P29317-2,Internal Deletion / Splice,477-955,479,Topological domain,Extracellular,24,537,61,partial,False,False
EPHA2,P29317,P29317-2,Internal Deletion / Splice,477-955,479,Transmembrane,Helical,538,558,21,full,False,False
EPHA2,P29317,P29317-2,Internal Deletion / Splice,477-955,479,Topological domain,Cytoplasmic,559,976,397,partial,False,False
EPHA2,P29317,P29317-2,Internal Deletion / Splice,477-955,479,Domain,Fibronectin type-III 2,438,529,53,partial,False,False
EPHA2,P29317,P29317-2,Internal Deletion / Splice,477-955,479,Domain,Protein kinase,613,875,263,full,False,False
EPHA2,P29317,P29317-2,Internal Deletion / Splice,477-955,479,Domain,SAM,904,968,52,partial,False,False
EPHA2,P29317,P29317-2,Internal Deletion / Splice,477-955,479,Region,Mediates interaction with ARHGEF16 and ELMO2,606,906,301,full,False,False
EPHA2,P29317,P29317-2,Internal Deletion / Splice,477-955,479,Region,Negatively regulates interaction with ARHGEF16,886,976,70,partial,False,False
EPHA2,P29317,P29317-2,Internal Deletion / Splice,477-955,479,Active site,Proton acceptor,739,739,1,full,False,False
EPHA2,P29317,P29317-2,Internal Deletion / Splice,477-955,479,Binding site,,619,627,9,full,False,False
EPHA2,P29317,P29317-2,Internal Deletion / Splice,477-955,479,Binding site,,646,646,1,full,False,False
HAAO,P46952,P46952-2,C-Terminal Loss,148-286,139,Region,Domain A (catalytic),1,160,13,partial,False,False
HAAO,P46952,P46952-2,C-Terminal Loss,148-286,139,Region,Linker,161,177,17,full,False,False
HAAO,P46952,P46952-2,C-Terminal Loss,148-286,139,Region,Domain B,178,286,109,full,False,False
MMP2,P08253,P08253-2,N-Terminal Loss,1-76,76,Propeptide,Activation peptide,30,109,47,partial,True,False
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,DNA binding,Nuclear receptor,567,639,28,partial,False,False
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Zinc finger,NR C4-type,567,587,21,full,False,False
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Region,"Modulating, Pro-Rich",1,566,566,full,False,True
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Region,AF3; mediates transcriptional activation (in isoform B),1,164,164,full,False,False
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Region,Disordered,1,157,157,full,False,True
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Region,Mediates transcriptional transrepression (in isoform A),165,305,141,full,False,False
PGR,P06401,P06401-3,N-Terminal Loss,1-594,594,Region,Disordered,195,241,47,full,False,True
