gene,canonical_acc,isoform_acc,canon_ipTM,iso_ipTM,canon_len,iso_len,structural_outcome
PCDHGA9,Q9Y5G4,Q9Y5G4-2,0.51,0.54,932,828,Monomer Baseline / Stochastic Signal
TLL1,O43897,O43897-2,0.19,0.43,1013,392,Monomer Baseline / Stochastic Signal
STPG4,Q8N801,Q8N801-2,0.08,0.06,248,177,Monomer Baseline / Stochastic Signal
BBIP1,A8MTZ0,A8MTZ0-2,0.25,0.22,92,70,Monomer Baseline / Stochastic Signal
SYNPO2,Q9UMS6,Q9UMS6-5,0.22,0.16,1093,698,Monomer Baseline / Stochastic Signal
SLC4A5,Q9BY07,Q9BY07-8,0.71,0.72,1137,1067,Conserved at >0.7
FBXO4,Q9UKT5,Q9UKT5-2,0.14,0.15,387,307,Monomer Baseline / Stochastic Signal
CHI3L2,Q15782,Q15782-6,0.14,0.13,390,380,Monomer Baseline / Stochastic Signal
CHI3L2,Q15782,Q15782-5,0.14,0.18,390,311,Monomer Baseline / Stochastic Signal
ARHGEF25,Q86VW2,Q86VW2-2,0.16,0.13,580,474,Monomer Baseline / Stochastic Signal
SOAT1,P35610,P35610-3,0.74,0.82,550,485,Conserved at >0.7
IWS1,Q96ST2,Q96ST2-2,0.17,0.13,819,494,Monomer Baseline / Stochastic Signal
RBBP5,Q15291,Q15291-2,0.43,0.34,538,500,Monomer Baseline / Stochastic Signal
GPN1,Q9HCN4,Q9HCN4-2,0.37,0.16,374,295,Monomer Baseline / Stochastic Signal
KLHL5,Q96PQ7,Q96PQ7-6,0.61,0.64,755,709,Conserved at >0.6
KLHL5,Q96PQ7,Q96PQ7-5,0.61,0.74,755,568,Conserved at >0.6
GNB5,O14775,O14775-2,0.13,0.12,395,353,Monomer Baseline / Stochastic Signal
EXOSC3,Q9NQT5,Q9NQT5-2,0.22,0.19,275,164,Monomer Baseline / Stochastic Signal
GLS,O94925,O94925-2,0.6,0.2,669,169,Ablation from >0.6 Canonical
DUSP10,Q9Y6W6,Q9Y6W6-2,0.16,0.29,482,140,Monomer Baseline / Stochastic Signal
PTPRN,Q16849,Q16849-3,0.2,0.19,979,889,Monomer Baseline / Stochastic Signal
LRRC49,Q8IUZ0,Q8IUZ0-4,0.17,0.17,686,676,Monomer Baseline / Stochastic Signal
LARP4,Q71RC2,Q71RC2-3,0.23,0.19,724,723,Monomer Baseline / Stochastic Signal
LARP4,Q71RC2,Q71RC2-7,0.23,0.2,724,445,Monomer Baseline / Stochastic Signal
PDE6B,P35913,P35913-3,0.86,0.84,854,575,Conserved at >0.8
PDE6B,P35913,P35913-2,0.86,0.85,854,853,Conserved at >0.8
SLC8A3,P57103,P57103-3,0.23,0.21,927,620,Monomer Baseline / Stochastic Signal
SLC8A3,P57103,P57103-4,0.23,0.18,927,284,Monomer Baseline / Stochastic Signal
ATP5F1A,P25705,P25705-2,0.23,0.21,553,503,Monomer Baseline / Stochastic Signal
ENTR1,Q96C92,Q96C92-3,0.39,0.43,435,377,Monomer Baseline / Stochastic Signal
WIPI1,Q5MNZ9,Q5MNZ9-2,0.16,0.15,446,441,Monomer Baseline / Stochastic Signal
IKBIP,Q70UQ0,Q70UQ0-2,0.27,0.45,350,244,Monomer Baseline / Stochastic Signal
CCSER1,Q9C0I3,Q9C0I3-2,0.22,0.19,900,677,Monomer Baseline / Stochastic Signal
MON1A,Q86VX9,Q86VX9-5,0.2,0.57,652,555,Monomer Baseline / Stochastic Signal
HIP1,O00291,O00291-4,0.36,0.37,1037,1008,Monomer Baseline / Stochastic Signal
RNF6,Q9Y252,Q9Y252-3,0.2,0.55,685,142,Monomer Baseline / Stochastic Signal
SMARCE1,Q969G3,Q969G3-3,0.25,0.26,411,341,Monomer Baseline / Stochastic Signal
SLC22A13,Q9Y226,Q9Y226-2,0.16,0.21,551,468,Monomer Baseline / Stochastic Signal
HERC3,Q15034,Q15034-2,0.22,0.16,1050,368,Monomer Baseline / Stochastic Signal
BRD2,P25440,P25440-4,0.29,0.3,801,681,Monomer Baseline / Stochastic Signal
PPEF2,O14830,O14830-2,0.18,0.19,753,598,Monomer Baseline / Stochastic Signal
SLC22A7,Q9Y694,Q9Y694-4,0.15,0.7,548,241,Monomer Baseline / Stochastic Signal
ATP5F1C,P36542,P36542-2,0.31,0.36,298,297,Monomer Baseline / Stochastic Signal
CEP70,Q8NHQ1,Q8NHQ1-3,0.34,0.62,597,212,Monomer Baseline / Stochastic Signal
CEP70,Q8NHQ1,Q8NHQ1-5,0.34,0.34,597,577,Monomer Baseline / Stochastic Signal
CEP70,Q8NHQ1,Q8NHQ1-4,0.34,0.35,597,579,Monomer Baseline / Stochastic Signal
CEP70,Q8NHQ1,Q8NHQ1-2,0.34,0.37,597,554,Monomer Baseline / Stochastic Signal
RHOT1,Q8IXI2,Q8IXI2-4,0.17,0.14,618,580,Monomer Baseline / Stochastic Signal
ST3GAL5,Q9UNP4,Q9UNP4-2,0.15,0.15,418,390,Monomer Baseline / Stochastic Signal
HKDC1,Q2TB90,Q2TB90-3,0.17,0.16,917,736,Monomer Baseline / Stochastic Signal
HKDC1,Q2TB90,Q2TB90-2,0.17,0.17,917,806,Monomer Baseline / Stochastic Signal
PPARGC1A,Q9UBK2,Q9UBK2-9,0.16,0.15,798,671,Monomer Baseline / Stochastic Signal
PPARGC1A,Q9UBK2,Q9UBK2-8,0.16,0.13,798,301,Monomer Baseline / Stochastic Signal
PPARGC1A,Q9UBK2,Q9UBK2-2,0.16,0.13,798,271,Monomer Baseline / Stochastic Signal
CCDC66,A2RUB6,A2RUB6-4,0.19,0.24,948,196,Monomer Baseline / Stochastic Signal
CCDC66,A2RUB6,A2RUB6-3,0.19,0.18,948,914,Monomer Baseline / Stochastic Signal
ZNF746,Q6NUN9,Q6NUN9-3,0.21,0.13,644,459,Monomer Baseline / Stochastic Signal
SLCO2B1,O94956,O94956-3,0.16,0.16,709,687,Monomer Baseline / Stochastic Signal
SLCO2B1,O94956,O94956-4,0.16,0.17,709,565,Monomer Baseline / Stochastic Signal
MIPOL1,Q8TD10,Q8TD10-2,0.27,0.37,442,261,Monomer Baseline / Stochastic Signal
MIPOL1,Q8TD10,Q8TD10-3,0.27,0.42,442,169,Monomer Baseline / Stochastic Signal
GLI1,P08151,P08151-3,0.19,0.18,1106,978,Monomer Baseline / Stochastic Signal
GLI1,P08151,P08151-2,0.19,0.19,1106,1065,Monomer Baseline / Stochastic Signal
SSPN,Q14714,Q14714-3,0.1,0.27,243,140,Monomer Baseline / Stochastic Signal
SLC39A9,Q9NUM3,Q9NUM3-3,0.77,0.21,307,232,Ablation from >0.7 Canonical
PRPF31,Q8WWY3,Q8WWY3-3,0.18,0.55,499,278,Monomer Baseline / Stochastic Signal
B4GALT1,P15291,P15291-2,0.16,0.17,398,385,Monomer Baseline / Stochastic Signal
TMEM183A,Q8IXX5,Q8IXX5-2,0.19,0.57,376,236,Monomer Baseline / Stochastic Signal
ZNF333,Q96JL9,Q96JL9-3,0.17,0.17,665,303,Monomer Baseline / Stochastic Signal
TES,Q9UGI8,Q9UGI8-2,0.13,0.12,421,412,Monomer Baseline / Stochastic Signal
LRIF1,Q5T3J3,Q5T3J3-2,0.2,0.12,769,233,Monomer Baseline / Stochastic Signal
ABHD10,Q9NUJ1,Q9NUJ1-2,0.8,0.91,306,149,Conserved at >0.8
FOSL2,P15408,P15408-3,0.2,0.12,326,287,Monomer Baseline / Stochastic Signal
ATOSA,Q32MH5,Q32MH5-2,0.21,0.24,1076,963,Monomer Baseline / Stochastic Signal
SCRN1,Q12765,Q12765-3,0.16,0.11,414,346,Monomer Baseline / Stochastic Signal
FASTKD2,Q9NYY8,Q9NYY8-2,0.17,0.16,710,648,Monomer Baseline / Stochastic Signal
FST,P19883,P19883-2,0.13,0.15,344,317,Monomer Baseline / Stochastic Signal
CCND3,P30281,P30281-4,0.2,0.28,292,96,Monomer Baseline / Stochastic Signal
RAB29,O14966,O14966-3,0.58,0.59,203,131,Monomer Baseline / Stochastic Signal
DCLRE1C,Q96SD1,Q96SD1-2,0.17,0.16,692,572,Monomer Baseline / Stochastic Signal
PHYH,O14832,O14832-2,0.23,0.27,338,238,Monomer Baseline / Stochastic Signal
CEACAM20,Q6UY09,Q6UY09-5,0.51,0.52,596,585,Monomer Baseline / Stochastic Signal
LHPP,Q9H008,Q9H008-2,0.95,0.89,270,210,Conserved at >0.8
SIAE,Q9HAT2,Q9HAT2-2,0.18,0.63,523,488,Monomer Baseline / Stochastic Signal
SPDYE3,A6NKU9,A6NKU9-2,0.25,0.69,549,172,Monomer Baseline / Stochastic Signal
ARHGAP11A,Q6P4F7,Q6P4F7-3,0.18,0.19,1023,834,Monomer Baseline / Stochastic Signal
ARHGAP11A,Q6P4F7,Q6P4F7-2,0.18,0.13,1023,501,Monomer Baseline / Stochastic Signal
NEK2,P51955,P51955-2,0.25,0.26,445,384,Monomer Baseline / Stochastic Signal
NEK2,P51955,P51955-3,0.25,0.3,445,326,Monomer Baseline / Stochastic Signal
SH3YL1,Q96HL8,Q96HL8-3,0.17,0.14,342,246,Monomer Baseline / Stochastic Signal
PPARA,Q07869,Q07869-2,0.18,0.09,468,174,Monomer Baseline / Stochastic Signal
DDB2,Q92466,Q92466-5,0.38,0.5,427,244,Monomer Baseline / Stochastic Signal
DDB2,Q92466,Q92466-3,0.38,0.12,427,156,Monomer Baseline / Stochastic Signal
TOLLIP,Q9H0E2,Q9H0E2-2,0.31,0.43,274,205,Monomer Baseline / Stochastic Signal
MITF,O75030,O75030-7,0.33,0.33,526,510,Monomer Baseline / Stochastic Signal
RUVBL2,Q9Y230,Q9Y230-2,0.15,0.14,463,418,Monomer Baseline / Stochastic Signal
PPM1M,Q96MI6,Q96MI6-4,0.84,0.28,459,247,Ablation from >0.8 Canonical
TTC39C,Q8N584,Q8N584-2,0.34,0.17,583,522,Monomer Baseline / Stochastic Signal
KRTCAP3,Q53RY4,Q53RY4-2,0.2,0.11,240,222,Monomer Baseline / Stochastic Signal
SLC25A30,Q5SVS4,Q5SVS4-2,0.2,0.12,291,240,Monomer Baseline / Stochastic Signal
TNFRSF25,Q93038,Q93038-5,0.17,0.15,417,181,Monomer Baseline / Stochastic Signal
ANGEL2,Q5VTE6,Q5VTE6-2,0.15,0.12,544,375,Monomer Baseline / Stochastic Signal
CREM,Q03060-1,Q03060-7,0.28,0.34,349,245,Monomer Baseline / Stochastic Signal
CREM,Q03060-1,Q03060-28,0.28,0.46,349,138,Monomer Baseline / Stochastic Signal
NOS3,P29474,P29474-3,0.5,0.71,1203,614,Monomer Baseline / Stochastic Signal
PPP4R2,Q9NY27,Q9NY27-3,0.18,0.12,417,361,Monomer Baseline / Stochastic Signal
IP6K1,Q92551,Q92551-2,0.23,0.19,441,276,Monomer Baseline / Stochastic Signal
SHQ1,Q6PI26,Q6PI26-2,0.16,0.35,577,549,Monomer Baseline / Stochastic Signal
CASS4,Q9NQ75,Q9NQ75-2,0.19,0.2,786,672,Monomer Baseline / Stochastic Signal
NLGN4Y,Q8NFZ3,Q8NFZ3-2,0.71,0.68,816,648,Ablation from >0.7 Canonical
ARHGAP36,Q6ZRI8,Q6ZRI8-5,0.18,0.17,547,499,Monomer Baseline / Stochastic Signal
ARHGAP36,Q6ZRI8,Q6ZRI8-4,0.18,0.15,547,535,Monomer Baseline / Stochastic Signal
ARHGAP36,Q6ZRI8,Q6ZRI8-2,0.18,0.15,547,516,Monomer Baseline / Stochastic Signal
ARHGAP36,Q6ZRI8,Q6ZRI8-3,0.18,0.2,547,411,Monomer Baseline / Stochastic Signal
SLC38A5,Q8WUX1,Q8WUX1-2,0.15,0.14,472,421,Monomer Baseline / Stochastic Signal
ACTR8,Q9H981,Q9H981-2,0.15,0.14,624,513,Monomer Baseline / Stochastic Signal
TERB1,Q8NA31,Q8NA31-2,0.16,0.14,727,550,Monomer Baseline / Stochastic Signal
GLB1L3,Q8NCI6,Q8NCI6-2,0.2,0.18,653,314,Monomer Baseline / Stochastic Signal
BIN3,Q9NQY0,Q9NQY0-2,0.78,0.62,253,199,Ablation from >0.7 Canonical
SLC26A8,Q96RN1,Q96RN1-4,0.68,0.7,970,768,Conserved at >0.6
CFL2,Q9Y281,Q9Y281-3,0.1,0.08,166,149,Monomer Baseline / Stochastic Signal
FAH,P16930,P16930-2,0.95,0.95,419,349,Conserved at >0.8
TBP,P20226,P20226-2,0.55,0.57,339,319,Monomer Baseline / Stochastic Signal
SLC22A15,Q8IZD6,Q8IZD6-2,0.14,0.23,547,245,Monomer Baseline / Stochastic Signal
ERMARD,Q5T6L9,Q5T6L9-4,0.16,0.14,678,552,Monomer Baseline / Stochastic Signal
SULT2B1,O00204,O00204-2,0.71,0.73,365,350,Conserved at >0.7
GALK2,Q01415,Q01415-2,0.2,0.35,458,447,Monomer Baseline / Stochastic Signal
UCKL1,Q9NWZ5,Q9NWZ5-4,0.56,0.59,548,533,Monomer Baseline / Stochastic Signal
UCKL1,Q9NWZ5,Q9NWZ5-3,0.56,0.46,548,395,Monomer Baseline / Stochastic Signal
ARFGAP2,Q8N6H7,Q8N6H7-3,0.14,0.1,521,252,Monomer Baseline / Stochastic Signal
GZF1,Q9H116,Q9H116-4,0.32,0.12,711,220,Monomer Baseline / Stochastic Signal
FBXO36,Q8NEA4,Q8NEA4-3,0.19,0.24,188,157,Monomer Baseline / Stochastic Signal
FBLN1,P23142,P23142-2,0.29,0.3,703,566,Monomer Baseline / Stochastic Signal
GRHL2,Q6ISB3,Q6ISB3-2,0.42,0.41,625,609,Monomer Baseline / Stochastic Signal
CNOT4,O95628,O95628-5,0.15,0.12,575,433,Monomer Baseline / Stochastic Signal
CNOT4,O95628,O95628-3,0.15,0.14,575,558,Monomer Baseline / Stochastic Signal
ZNF485,Q8NCK3,Q8NCK3-2,0.15,0.1,441,350,Monomer Baseline / Stochastic Signal
NFKB2,Q00653,Q00653-4,0.54,0.53,900,899,Monomer Baseline / Stochastic Signal
GLIPR1L2,Q4G1C9,Q4G1C9-4,0.12,0.11,344,168,Monomer Baseline / Stochastic Signal
GLIPR1L2,Q4G1C9,Q4G1C9-5,0.12,0.17,344,237,Monomer Baseline / Stochastic Signal
RFX3,P48380,P48380-3,0.52,0.3,749,413,Monomer Baseline / Stochastic Signal
BLOC1S1,P78537,P78537-2,0.11,0.16,153,125,Monomer Baseline / Stochastic Signal
NHSL2,Q5HYW2,Q5HYW2-2,0.23,0.16,1225,709,Monomer Baseline / Stochastic Signal
SLC25A45,Q8N413,Q8N413-2,0.16,0.18,288,246,Monomer Baseline / Stochastic Signal
SLC25A45,Q8N413,Q8N413-3,0.16,0.18,288,184,Monomer Baseline / Stochastic Signal
ANKRD13B,Q86YJ7,Q86YJ7-2,0.17,0.14,626,494,Monomer Baseline / Stochastic Signal
GATM,P50440,P50440-3,0.83,0.82,423,391,Conserved at >0.8
NCS1,P62166,P62166-2,0.36,0.22,190,172,Monomer Baseline / Stochastic Signal
POU4F1,Q01851,Q01851-2,0.41,0.45,419,335,Monomer Baseline / Stochastic Signal
MCAT,Q8IVS2,Q8IVS2-2,0.16,0.52,390,180,Monomer Baseline / Stochastic Signal
KIAA1328,Q86T90,Q86T90-4,0.31,0.35,577,129,Monomer Baseline / Stochastic Signal
LRRTM4,Q86VH4,Q86VH4-2,0.17,0.14,590,518,Monomer Baseline / Stochastic Signal
SNX21,Q969T3,Q969T3-2,0.12,0.15,373,199,Monomer Baseline / Stochastic Signal
MKRN2,Q9H000,Q9H000-2,0.14,0.14,416,373,Monomer Baseline / Stochastic Signal
ACSBG2,Q5FVE4,Q5FVE4-4,0.16,0.43,666,466,Monomer Baseline / Stochastic Signal
ACSBG2,Q5FVE4,Q5FVE4-3,0.16,0.29,666,479,Monomer Baseline / Stochastic Signal
ACSBG2,Q5FVE4,Q5FVE4-2,0.16,0.15,666,616,Monomer Baseline / Stochastic Signal
GSTO1,P78417,P78417-3,0.93,0.92,241,213,Conserved at >0.8
ITGB8,P26012,P26012-2,0.19,0.18,769,634,Monomer Baseline / Stochastic Signal
PIGA,P37287,P37287-3,0.18,0.2,484,250,Monomer Baseline / Stochastic Signal
KNSTRN,Q9Y448,Q9Y448-2,0.43,0.38,316,286,Monomer Baseline / Stochastic Signal
SLC11A2,P49281,P49281-2,0.15,0.15,568,561,Monomer Baseline / Stochastic Signal
TKTL1,P51854,P51854-4,0.94,0.94,596,540,Conserved at >0.8
TRIB1,Q96RU8,Q96RU8-2,0.17,0.65,372,206,Monomer Baseline / Stochastic Signal
KLK11,Q9UBX7,Q9UBX7-1,0.12,0.1,282,250,Monomer Baseline / Stochastic Signal
HS6ST2,Q96MM7,Q96MM7-2,0.29,0.13,605,459,Monomer Baseline / Stochastic Signal
PARN,O95453,O95453-2,0.72,0.68,639,578,Ablation from >0.7 Canonical
ARHGAP30,Q7Z6I6,Q7Z6I6-3,0.25,0.2,1101,953,Monomer Baseline / Stochastic Signal
RBM24,Q9BX46,Q9BX46-5,0.11,0.1,236,178,Monomer Baseline / Stochastic Signal
STRBP,Q96SI9,Q96SI9-2,0.42,0.34,672,658,Monomer Baseline / Stochastic Signal
ARL2BP,Q9Y2Y0,Q9Y2Y0-2,0.15,0.11,163,152,Monomer Baseline / Stochastic Signal
MARCHF7,Q9H992,Q9H992-2,0.22,0.2,704,666,Monomer Baseline / Stochastic Signal
DCAF5,Q96JK2,Q96JK2-2,0.18,0.24,942,860,Monomer Baseline / Stochastic Signal
NTHL1,P78549,P78549-3,0.16,0.17,304,297,Monomer Baseline / Stochastic Signal
PDZD7,Q9H5P4-1,Q9H5P4-2,0.22,0.16,517,512,Monomer Baseline / Stochastic Signal
ARL13B,Q3SXY8,Q3SXY8-3,0.16,0.15,428,325,Monomer Baseline / Stochastic Signal
VPS36,Q86VN1,Q86VN1-2,0.16,0.14,386,328,Monomer Baseline / Stochastic Signal
