gene,canonical_acc,isoform_acc,canon_ipTM,iso_ipTM,canon_len,iso_len,structural_outcome,delta_ipTM,ipTM_gain,delta_len,canon_tier,iso_tier,tier_transition,biological_outcome,truncation_topology
TFR2,Q9UP52,Q9UP52-2,0.78,0.88,801,630,Conserved at >0.7,-0.09999999999999998,0.09999999999999998,171,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
ACOT12,Q8WYK0,Q8WYK0-2,0.22,0.86,555,167,Monomer Baseline / Stochastic Signal,-0.64,0.64,388,Low,High,Low -> High,Gain of Function (Interface Unmasking),Internal Deletion / Splice
FH,P07954,P07954-2,0.58,0.86,510,467,Monomer Baseline / Stochastic Signal,-0.28,0.28,43,Low,High,Low -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
ANO3,Q9BYT9,Q9BYT9-2,0.77,0.85,981,835,Conserved at >0.7,-0.07999999999999996,0.07999999999999996,146,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
HAAO,P46952,P46952-2,0.4,0.85,286,147,Monomer Baseline / Stochastic Signal,-0.44999999999999996,0.44999999999999996,139,Low,High,Low -> High,Gain of Function (Interface Unmasking),C-Terminal Loss
NADK2,Q4G0N4,Q4G0N4-3,0.77,0.85,442,279,Conserved at >0.7,-0.07999999999999996,0.07999999999999996,163,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
GCDH,Q92947,Q92947-2,0.6,0.85,438,428,Conserved at >0.6,-0.25,0.25,10,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),Internal Deletion / Splice
SEMA6D,Q8NFY4,Q8NFY4-7,0.56,0.84,1073,476,Monomer Baseline / Stochastic Signal,-0.2799999999999999,0.2799999999999999,597,Low,High,Low -> High,Gain of Function (Interface Unmasking),C-Terminal Loss
SEMA6D,Q8NFY4,Q8NFY4-8,0.56,0.84,1073,597,Monomer Baseline / Stochastic Signal,-0.2799999999999999,0.2799999999999999,476,Low,High,Low -> High,Gain of Function (Interface Unmasking),Internal Deletion / Splice
AMPD3,Q01432,Q01432-6,0.79,0.84,767,608,Conserved at >0.7,-0.04999999999999993,0.04999999999999993,159,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
UXS1,Q8NBZ7,Q8NBZ7-3,0.76,0.83,420,252,Conserved at >0.7,-0.06999999999999995,0.06999999999999995,168,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
NFIB,O00712,O00712-2,0.55,0.83,420,188,Monomer Baseline / Stochastic Signal,-0.2799999999999999,0.2799999999999999,232,Low,High,Low -> High,Gain of Function (Interface Unmasking),Internal Deletion / Splice
FAM3B,P58499,P58499-3,0.1,0.83,235,187,Monomer Baseline / Stochastic Signal,-0.73,0.73,48,Low,High,Low -> High,Gain of Function (Interface Unmasking),Internal Deletion / Splice
UMPS,P11172,P11172-2,0.63,0.83,480,302,Conserved at >0.6,-0.19999999999999996,0.19999999999999996,178,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
SOAT1,P35610,P35610-3,0.74,0.82,550,485,Conserved at >0.7,-0.07999999999999996,0.07999999999999996,65,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
NR2F2,P24468,P24468-3,0.57,0.82,414,261,Monomer Baseline / Stochastic Signal,-0.25,0.25,153,Low,High,Low -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
CDCP1,Q9H5V8,Q9H5V8-3,0.65,0.82,836,343,Conserved at >0.6,-0.16999999999999993,0.16999999999999993,493,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),Internal Deletion / Splice
UPRT,Q96BW1,Q96BW1-3,0.62,0.82,309,167,Conserved at >0.6,-0.19999999999999996,0.19999999999999996,142,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),Internal Deletion / Splice
SRGAP3,O43295,O43295-3,0.5,0.82,1099,487,Monomer Baseline / Stochastic Signal,-0.31999999999999995,0.31999999999999995,612,Low,High,Low -> High,Gain of Function (Interface Unmasking),Internal Deletion / Splice
SRI,P30626,P30626-2,0.74,0.81,198,183,Conserved at >0.7,-0.07000000000000006,0.07000000000000006,15,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),Internal Deletion / Splice
RNF212,Q495C1,Q495C1-2,0.43,0.81,297,123,Monomer Baseline / Stochastic Signal,-0.38000000000000006,0.38000000000000006,174,Low,High,Low -> High,Gain of Function (Interface Unmasking),Internal Deletion / Splice
PDE9A,O76083,O76083-7,0.59,0.81,593,386,Monomer Baseline / Stochastic Signal,-0.22000000000000008,0.22000000000000008,207,Low,High,Low -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
B3GNT4,Q9C0J1,Q9C0J1-2,0.76,0.81,378,353,Conserved at >0.7,-0.050000000000000044,0.050000000000000044,25,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
FLAD1,Q8NFF5,Q8NFF5-2,0.72,0.81,587,490,Conserved at >0.7,-0.09000000000000008,0.09000000000000008,97,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
ABCG4,Q9H172,Q9H172-4,0.79,0.81,646,546,Conserved at >0.7,-0.020000000000000018,0.020000000000000018,100,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
MASP2,O00187,O00187-2,0.61,0.81,686,185,Conserved at >0.6,-0.20000000000000007,0.20000000000000007,501,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),Internal Deletion / Splice
AHCY,P23526,P23526-2,0.78,0.81,432,404,Conserved at >0.7,-0.030000000000000027,0.030000000000000027,28,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
DIABLO,Q9NR28,Q9NR28-2,0.66,0.81,239,186,Conserved at >0.6,-0.15000000000000002,0.15000000000000002,53,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),Internal Deletion / Splice
KLHL13,Q9P2N7,Q9P2N7-2,0.75,0.8,655,613,Conserved at >0.7,-0.050000000000000044,0.050000000000000044,42,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
MTMR2,Q13614,Q13614-2,0.74,0.8,643,571,Conserved at >0.7,-0.06000000000000005,0.06000000000000005,72,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
BTBD6,Q96KE9-1,Q96KE9-2,0.68,0.8,485,410,Conserved at >0.6,-0.12,0.12,75,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
MLYCD,O95822,O95822-2,0.75,0.8,493,454,Conserved at >0.7,-0.050000000000000044,0.050000000000000044,39,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
CARS1,P49589,P49589-2,0.79,0.8,748,726,Conserved at >0.7,-0.010000000000000009,0.010000000000000009,22,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),Internal Deletion / Splice
PANK2,Q9BZ23,Q9BZ23-2,0.64,0.8,570,279,Conserved at >0.6,-0.16000000000000003,0.16000000000000003,291,Moderate,High,Moderate -> High,Gain of Function (Interface Unmasking),N-Terminal Loss
PDGFC,Q9NRA1,Q9NRA1-4,0.49,0.79,345,182,Monomer Baseline / Stochastic Signal,-0.30000000000000004,0.30000000000000004,163,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
CFLAR,O15519,O15519-4,0.46,0.79,480,235,Monomer Baseline / Stochastic Signal,-0.33,0.33,245,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
STOX1,Q6ZVD7,Q6ZVD7-2,0.36,0.78,989,227,Monomer Baseline / Stochastic Signal,-0.42000000000000004,0.42000000000000004,762,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
ARMC3,Q5W041,Q5W041-5,0.51,0.78,872,397,Monomer Baseline / Stochastic Signal,-0.27,0.27,475,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
CYB5RL,Q6IPT4,Q6IPT4-3,0.17,0.78,315,167,Monomer Baseline / Stochastic Signal,-0.61,0.61,148,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
CASP5,P51878,P51878-3,0.55,0.78,434,292,Monomer Baseline / Stochastic Signal,-0.22999999999999998,0.22999999999999998,142,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
DNAJC27,Q9NZQ0,Q9NZQ0-3,0.22,0.78,273,177,Monomer Baseline / Stochastic Signal,-0.56,0.56,96,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
TRIP10,Q15642,Q15642-5,0.53,0.77,601,341,Monomer Baseline / Stochastic Signal,-0.24,0.24,260,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
MASP1,P48740,P48740-3,0.4,0.77,699,380,Monomer Baseline / Stochastic Signal,-0.37,0.37,319,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
PCTP,Q9UKL6,Q9UKL6-2,0.14,0.77,214,142,Monomer Baseline / Stochastic Signal,-0.63,0.63,72,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
SLC14A2,Q15849,Q15849-2,0.44,0.77,920,397,Monomer Baseline / Stochastic Signal,-0.33,0.33,523,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
DCAF17,Q5H9S7,Q5H9S7-2,0.19,0.77,520,240,Monomer Baseline / Stochastic Signal,-0.5800000000000001,0.5800000000000001,280,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
HLA-G,P17693,P17693-7,0.16,0.77,338,116,Monomer Baseline / Stochastic Signal,-0.61,0.61,222,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
SEPTIN9,Q9UHD8,Q9UHD8-4,0.51,0.76,586,335,Monomer Baseline / Stochastic Signal,-0.25,0.25,251,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
TSSK4,Q6SA08,Q6SA08-3,0.35,0.76,328,252,Monomer Baseline / Stochastic Signal,-0.41000000000000003,0.41000000000000003,76,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
ALCAM,Q13740,Q13740-3,0.38,0.76,583,133,Monomer Baseline / Stochastic Signal,-0.38,0.38,450,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
ABHD17A,Q96GS6,Q96GS6-3,0.15,0.75,310,236,Monomer Baseline / Stochastic Signal,-0.6,0.6,74,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
ALLC,Q8N6M5,Q8N6M5-2,0.51,0.75,391,162,Monomer Baseline / Stochastic Signal,-0.24,0.24,229,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
AJUBA,Q96IF1,Q96IF1-2,0.25,0.75,538,121,Monomer Baseline / Stochastic Signal,-0.5,0.5,417,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
P3H1,Q32P28,Q32P28-2,0.57,0.75,736,363,Monomer Baseline / Stochastic Signal,-0.18000000000000005,0.18000000000000005,373,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
MYSM1,Q5VVJ2,Q5VVJ2-3,0.29,0.74,828,234,Monomer Baseline / Stochastic Signal,-0.45,0.45,594,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
INTS3,Q68E01,Q68E01-4,0.49,0.74,1043,555,Monomer Baseline / Stochastic Signal,-0.25,0.25,488,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
PECR,Q9BY49,Q9BY49-2,0.47,0.74,303,157,Monomer Baseline / Stochastic Signal,-0.27,0.27,146,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
TFAP2C,Q92754,Q92754-2,0.53,0.74,450,281,Monomer Baseline / Stochastic Signal,-0.20999999999999996,0.20999999999999996,169,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
IL11,P20809,P20809-2,0.24,0.73,199,120,Monomer Baseline / Stochastic Signal,-0.49,0.49,79,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
MFN1,Q8IWA4,Q8IWA4-2,0.51,0.73,741,370,Monomer Baseline / Stochastic Signal,-0.21999999999999997,0.21999999999999997,371,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
TLK1,Q9UKI8,Q9UKI8-3,0.59,0.73,766,549,Monomer Baseline / Stochastic Signal,-0.14,0.14,217,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
SPATC1L,Q9H0A9,Q9H0A9-2,0.48,0.73,340,186,Monomer Baseline / Stochastic Signal,-0.25,0.25,154,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
OGG1,O15527,O15527-6,0.18,0.73,345,195,Monomer Baseline / Stochastic Signal,-0.55,0.55,150,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
ASNS,P08243,P08243-2,0.54,0.73,561,540,Monomer Baseline / Stochastic Signal,-0.18999999999999995,0.18999999999999995,21,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
CDYL,Q9Y232,Q9Y232-3,0.46,0.73,598,309,Monomer Baseline / Stochastic Signal,-0.26999999999999996,0.26999999999999996,289,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
MAX,P61244,P61244-3,0.58,0.73,160,103,Monomer Baseline / Stochastic Signal,-0.15000000000000002,0.15000000000000002,57,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
MCTP1,Q6DN14,Q6DN14-5,0.52,0.72,999,515,Monomer Baseline / Stochastic Signal,-0.19999999999999996,0.19999999999999996,484,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
GRIA4,P48058,P48058-2,0.46,0.72,902,433,Monomer Baseline / Stochastic Signal,-0.25999999999999995,0.25999999999999995,469,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
CSHL1,Q14406,Q14406-4,0.09,0.72,222,128,Monomer Baseline / Stochastic Signal,-0.63,0.63,94,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
CADM1,Q9BY67,Q9BY67-2,0.59,0.72,442,333,Monomer Baseline / Stochastic Signal,-0.13,0.13,109,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
NOS3,P29474,P29474-3,0.5,0.71,1203,614,Monomer Baseline / Stochastic Signal,-0.20999999999999996,0.20999999999999996,589,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
LRRFIP2,Q9Y608,Q9Y608-3,0.3,0.71,721,100,Monomer Baseline / Stochastic Signal,-0.41,0.41,621,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
MYNN,Q9NPC7,Q9NPC7-4,0.32,0.71,610,91,Monomer Baseline / Stochastic Signal,-0.38999999999999996,0.38999999999999996,519,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
TMC5,Q6UXY8,Q6UXY8-4,0.56,0.71,1006,647,Monomer Baseline / Stochastic Signal,-0.1499999999999999,0.1499999999999999,359,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
OSBPL1A,Q9BXW6,Q9BXW6-2,0.29,0.71,950,437,Monomer Baseline / Stochastic Signal,-0.42,0.42,513,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
SLC22A7,Q9Y694,Q9Y694-4,0.15,0.7,548,241,Monomer Baseline / Stochastic Signal,-0.5499999999999999,0.5499999999999999,307,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
EPHB4,P54760,P54760-4,0.2,0.7,987,414,Monomer Baseline / Stochastic Signal,-0.49999999999999994,0.49999999999999994,573,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
SCYL1,Q96KG9,Q96KG9-5,0.59,0.7,808,626,Monomer Baseline / Stochastic Signal,-0.10999999999999999,0.10999999999999999,182,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
CAPN10,Q9HC96,Q9HC96-5,0.19,0.7,672,444,Monomer Baseline / Stochastic Signal,-0.51,0.51,228,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
SPDYE3,A6NKU9,A6NKU9-2,0.25,0.69,549,172,Monomer Baseline / Stochastic Signal,-0.43999999999999995,0.43999999999999995,377,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
GRIK2,Q13002,Q13002-3,0.52,0.69,908,584,Monomer Baseline / Stochastic Signal,-0.16999999999999993,0.16999999999999993,324,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),C-Terminal Loss
CSHL1,Q14406,Q14406-3,0.09,0.69,222,139,Monomer Baseline / Stochastic Signal,-0.6,0.6,83,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
TBC1D2,Q9BYX2,Q9BYX2-6,0.48,0.69,928,468,Monomer Baseline / Stochastic Signal,-0.20999999999999996,0.20999999999999996,460,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
EPHA7,Q15375,Q15375-3,0.19,0.69,998,279,Monomer Baseline / Stochastic Signal,-0.49999999999999994,0.49999999999999994,719,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
ANKH,Q9HCJ1,Q9HCJ1-2,0.16,0.69,492,294,Monomer Baseline / Stochastic Signal,-0.5299999999999999,0.5299999999999999,198,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
TRAF3IP2,O43734,O43734-4,0.15,0.69,574,109,Monomer Baseline / Stochastic Signal,-0.5399999999999999,0.5399999999999999,465,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
VPS54,Q9P1Q0,Q9P1Q0-5,0.27,0.68,977,139,Monomer Baseline / Stochastic Signal,-0.41000000000000003,0.41000000000000003,838,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
WEE1,P30291,P30291-2,0.5,0.68,646,432,Monomer Baseline / Stochastic Signal,-0.18000000000000005,0.18000000000000005,214,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
PGR,P06401,P06401-3,0.24,0.68,933,339,Monomer Baseline / Stochastic Signal,-0.44000000000000006,0.44000000000000006,594,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
ZC4H2,Q9NQZ6,Q9NQZ6-2,0.53,0.68,224,133,Monomer Baseline / Stochastic Signal,-0.15000000000000002,0.15000000000000002,91,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
EPHA10,Q5JZY3,Q5JZY3-2,0.19,0.68,1008,295,Monomer Baseline / Stochastic Signal,-0.49000000000000005,0.49000000000000005,713,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
VEGFA,P15692-1,P15692-10,0.46,0.68,232,137,Monomer Baseline / Stochastic Signal,-0.22000000000000003,0.22000000000000003,95,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
MAGT1,Q9H0U3,Q9H0U3-2,0.18,0.68,335,134,Monomer Baseline / Stochastic Signal,-0.5,0.5,201,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
PCSK6,P29122,P29122-5,0.52,0.68,969,623,Monomer Baseline / Stochastic Signal,-0.16000000000000003,0.16000000000000003,346,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
LETMD1,Q6P1Q0,Q6P1Q0-5,0.18,0.67,360,100,Monomer Baseline / Stochastic Signal,-0.49000000000000005,0.49000000000000005,260,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
MTX1,Q13505,Q13505-3,0.5,0.67,466,317,Monomer Baseline / Stochastic Signal,-0.17000000000000004,0.17000000000000004,149,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
RAB3IP,Q96QF0,Q96QF0-8,0.42,0.67,476,254,Monomer Baseline / Stochastic Signal,-0.25000000000000006,0.25000000000000006,222,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
GET4,Q7L5D6,Q7L5D6-2,0.58,0.67,327,274,Monomer Baseline / Stochastic Signal,-0.09000000000000008,0.09000000000000008,53,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
RGS4,P49798,P49798-5,0.27,0.67,205,187,Monomer Baseline / Stochastic Signal,-0.4,0.4,18,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
PTCHD1,Q96NR3,Q96NR3-2,0.21,0.67,888,783,Monomer Baseline / Stochastic Signal,-0.4600000000000001,0.4600000000000001,105,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
CASP9,P55211,P55211-4,0.57,0.67,416,333,Monomer Baseline / Stochastic Signal,-0.10000000000000009,0.10000000000000009,83,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
MCTP2,Q6DN12,Q6DN12-3,0.56,0.67,878,466,Monomer Baseline / Stochastic Signal,-0.10999999999999999,0.10999999999999999,412,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
COPZ1,P61923,P61923-3,0.09,0.67,177,154,Monomer Baseline / Stochastic Signal,-0.5800000000000001,0.5800000000000001,23,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
PSPC1,Q8WXF1,Q8WXF1-2,0.55,0.67,523,393,Monomer Baseline / Stochastic Signal,-0.12,0.12,130,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
NPAS4,Q8IUM7,Q8IUM7-3,0.38,0.67,802,234,Monomer Baseline / Stochastic Signal,-0.29000000000000004,0.29000000000000004,568,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
AK5,Q9Y6K8,Q9Y6K8-2,0.29,0.66,562,197,Monomer Baseline / Stochastic Signal,-0.37000000000000005,0.37000000000000005,365,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
NGLY1,Q96IV0,Q96IV0-4,0.19,0.66,654,131,Monomer Baseline / Stochastic Signal,-0.47000000000000003,0.47000000000000003,523,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
ACOT7,O00154,O00154-4,0.32,0.66,380,338,Monomer Baseline / Stochastic Signal,-0.34,0.34,42,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
IRAK4,Q9NWZ3,Q9NWZ3-2,0.56,0.66,460,336,Monomer Baseline / Stochastic Signal,-0.09999999999999998,0.09999999999999998,124,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
VEGFA,P15692-1,P15692-9,0.46,0.66,232,147,Monomer Baseline / Stochastic Signal,-0.2,0.2,85,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
EFCC1,Q9HA90,Q9HA90-2,0.39,0.66,598,161,Monomer Baseline / Stochastic Signal,-0.27,0.27,437,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),N-Terminal Loss
CAPN10,Q9HC96,Q9HC96-4,0.19,0.66,672,513,Monomer Baseline / Stochastic Signal,-0.47000000000000003,0.47000000000000003,159,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
PCSK6,P29122,P29122-4,0.52,0.66,969,652,Monomer Baseline / Stochastic Signal,-0.14,0.14,317,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
DMPK,Q09013,Q09013-10,0.58,0.66,629,535,Monomer Baseline / Stochastic Signal,-0.08000000000000007,0.08000000000000007,94,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
TERF2,Q15554,Q15554-4,0.48,0.66,542,293,Monomer Baseline / Stochastic Signal,-0.18000000000000005,0.18000000000000005,249,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
PML,P29590,P29590-10,0.42,0.66,882,435,Monomer Baseline / Stochastic Signal,-0.24000000000000005,0.24000000000000005,447,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
PML,P29590,P29590-14,0.42,0.66,882,423,Monomer Baseline / Stochastic Signal,-0.24000000000000005,0.24000000000000005,459,Low,Moderate,Low -> Moderate,Gain of Function (Interface Unmasking),Internal Deletion / Splice
